Наименование маршрута,lat,lon,city
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.982442,104.139576,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.982323,104.139809,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.982254,104.140306,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.982206,104.140319,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.982115,104.140362,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.981974,104.140421,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.9817,104.140483,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.981472,104.140595,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.981284,104.140539,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.980271,104.139678,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.979795,104.139361,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.97961,104.139276,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.979273,104.139394,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.978996,104.139576,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.978004,104.14089,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977694,104.141191,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977433,104.141572,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977301,104.141711,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977178,104.141765,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977059,104.14169,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.97576,104.140332,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975523,104.140075,Ольхонское плато
